path,line,detection_type,classification,stage_allowed,evidence_without_secret,recommended_action
audit/final-full-site-audit.md,43,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,85,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,86,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,89,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,90,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,233,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,303,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,304,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,305,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
audit/full_scan.py,435,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/check_title_duplicates.py,42,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/check_title_duplicates.py,46,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/check_title_duplicates.py,49,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/check_title_duplicates.py,51,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/sanitize_nested_html_documents.py,52,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/sanitize_nested_html_documents.py,54,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/sanitize_nested_html_documents.py,95,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/sanitize_nested_html_documents.py,99,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
scripts/sanitize_nested_html_documents.py,102,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,273,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,292,session,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,293,session,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,308,session,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,312,session,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,339,session,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,381,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,382,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
seo_audit/core.py,392,token,SAFE_FALSE_POSITIVE,yes,keyword/reference only; value omitted,safe as prose/field/pattern reference
