path,category,file_type,size_bytes,purpose,likely_origin,reusable,sensitive_risk,duplicate_group,deployment_required,recommended_action,confidence,evidence
DEPLOYMENT_CHECKS.md,COMMIT_REUSABLE,.md,3245,root documentation/report,local SEO/deployment audit and verification work,yes,no,,no,human-readable final/operational report candidate,medium,file_count=1; top_ext=.md:1
audit/all-html-audit.csv,NEEDS_REVIEW,.csv,2337455,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/all-internal-links.csv,NEEDS_REVIEW,.csv,68381087,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/breadcrumb-child-counts.csv,NEEDS_REVIEW,.csv,44823,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/broken-internal-links.csv,NEEDS_REVIEW,.csv,102,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/canonical-conflicts.csv,NEEDS_REVIEW,.csv,2272061,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/commands-used-final.txt,NEEDS_REVIEW,.txt,256,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.txt:1
audit/commands-used.txt,NEEDS_REVIEW,.txt,887,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.txt:1
audit/confirmed-html-fixes.csv,NEEDS_REVIEW,.csv,2360,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/crawl-depth.csv,NEEDS_REVIEW,.csv,339191,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/domain-string-inventory.txt,NEEDS_REVIEW,.txt,2958489,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.txt:1
audit/duplicate-exact.csv,NEEDS_REVIEW,.csv,252,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/duplicate-page-report.csv,NEEDS_REVIEW,.csv,5543,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/duplicate-similar.csv,NEEDS_REVIEW,.csv,49,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/final-full-site-audit.md,NEEDS_REVIEW,.md,6291,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,yes,,no,possible sensitive pattern; do not stage before manual inspection,high,file_count=1; top_ext=.md:1; sensitive_pattern_types=token
audit/final-root-cause-ranking.md,COMMIT_REUSABLE,.md,1936,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,yes,no,,no,human-readable final/operational report candidate,medium,file_count=1; top_ext=.md:1
