display_name,slug,parent_slug,region_type
개포동,개포동,강남구,eupmyeondong
논현동,논현동,강남구,eupmyeondong
대치동,대치동,강남구,eupmyeondong
도곡동,도곡동,강남구,eupmyeondong
삼성동,삼성동,강남구,eupmyeondong
세곡동,세곡동,강남구,eupmyeondong
수서동,수서동,강남구,eupmyeondong
압구정동,압구정동,강남구,eupmyeondong
역삼동,역삼동,강남구,eupmyeondong
일원동,일원동,강남구,eupmyeondong
자곡동,자곡동,강남구,eupmyeondong
청담동,청담동,강남구,eupmyeondong
강일동,강일동,강동구,eupmyeondong
고덕동,고덕동,강동구,eupmyeondong
둔촌동,둔촌동,강동구,eupmyeondong
명일동,명일동,강동구,eupmyeondong
상일동,상일동,강동구,eupmyeondong
성내동,성내동,강동구,eupmyeondong
암사동,암사동,강동구,eupmyeondong
천호동,천호동,강동구,eupmyeondong
미아동,미아동,강북구,eupmyeondong
수유동,수유동,강북구,eupmyeondong
우이동,우이동,강북구,eupmyeondong
가양동,가양동,강서구,eupmyeondong
내발산동,내발산동,강서구,eupmyeondong
등촌동,등촌동,강서구,eupmyeondong
마곡동,마곡동,강서구,eupmyeondong
명지동,명지동,강서구,eupmyeondong
방화동,방화동,강서구,eupmyeondong
염창동,염창동,강서구,eupmyeondong
화곡동,화곡동,강서구,eupmyeondong
경안동,경안동,경기광주,eupmyeondong
쌍령동,쌍령동,경기광주,eupmyeondong
오포읍,오포읍,경기광주,eupmyeondong
초월읍,초월읍,경기광주,eupmyeondong
탄벌동,탄벌동,경기광주,eupmyeondong
태전동,태전동,경기광주,eupmyeondong
백천동,백천동,경산,eupmyeondong
상방동,상방동,경산,eupmyeondong
옥곡동,옥곡동,경산,eupmyeondong
옥산동,옥산동,경산,eupmyeondong
임당동,임당동,경산,eupmyeondong
정평동,정평동,경산,eupmyeondong
중방동,중방동,경산,eupmyeondong
계산동,계산동,계양구,eupmyeondong
작전동,작전동,계양구,eupmyeondong
효성동,효성동,계양구,eupmyeondong
별양동,별양동,과천,eupmyeondong
부림동,부림동,과천,eupmyeondong
원문동,원문동,과천,eupmyeondong
봉천동,봉천동,관악구,eupmyeondong
신림동,신림동,관악구,eupmyeondong
광명동,광명동,광명,eupmyeondong
소하동,소하동,광명,eupmyeondong
일직동,일직동,광명,eupmyeondong
